0.149,2024-03-26
0.109,2024-03-26
0.11,2024-03-15
0.11,2024-03-15
0.148,2024-03-13
0.158,2024-03-02
0.088,2024-02-28
0.146,2024-02-28
0.153,2024-02-28
0.176,2024-02-27
0.114,2024-02-27
0.128,2024-02-26
0.124,2024-02-16
0.092,2024-02-13
0.192,2024-02-13
0.12,2024-02-05
0.099,2024-02-03
0.131,2024-01-26
-0.171,2024-01-05
0.125,2023-12-19
0.206,2023-12-14
0.171,2023-12-06
0.105,2023-12-06
0.099,2023-12-05
0.202,2023-11-27
0.123,2023-11-27
0.07,2023-11-23
0.1,2023-11-22
0.105,2023-11-17
0.251,2023-11-16
0.166,2023-11-10
0.151,2023-11-07
0.094,2023-11-06
0.158,2023-11-02
0.16,2023-11-02
0.146,2023-11-01
0.137,2023-10-31
0.107,2023-10-31
0.143,2023-10-29
0.176,2023-10-26
0.121,2023-10-25
0.147,2023-10-16
0.147,2023-10-15
0.078,2023-10-12
0.123,2023-10-11
0.105,2023-10-04
0.127,2023-10-04
0.098,2023-10-03
0.149,2023-09-25
0.128,2023-09-21
0.146,2023-09-20
0.12,2023-09-18
0.091,2023-09-15
0.086,2023-09-12
0.108,2023-09-01
0.184,2023-08-30
0.114,2023-08-28
0.128,2023-08-25
0.155,2023-08-24
0.072,2023-08-23
0.091,2023-08-23
0.099,2023-08-14
0.128,2023-08-14
0.174,2023-08-06
0.121,2023-08-03
0.162,2023-08-02
0.148,2023-07-28
0.125,2023-07-20
0.194,2023-07-19
0.127,2023-07-11
0.188,2023-07-06
0.144,2023-07-03
0.132,2023-06-08
0.118,2023-06-06
0.155,2023-06-05
0.16,2023-05-30
0.108,2023-05-17
-0.113,2023-05-16
0.183,2023-05-14
0.116,2023-05-11
0.101,2023-05-05
0.115,2023-05-05
0.078,2023-05-01
0.138,2023-04-27
0.071,2023-04-19
0.194,2023-04-16
0.143,2023-03-23
0.078,2023-03-22
0.23,2023-03-12
0.123,2023-03-03
0.164,2023-02-23
0.176,2023-02-21
0.167,2023-02-18
0.122,2023-02-15
0.159,2023-02-12
0.134,2023-02-10
0.165,2023-02-09
-0.16,2023-02-03
0.064,2023-02-03
0.124,2023-01-28
0.153,2023-01-25
0.125,2023-01-12
0.172,2023-01-10
