0.158,2024-03-22
0.11,2024-03-15
0.129,2024-03-15
0.088,2024-02-28
0.153,2024-02-28
0.114,2024-02-27
0.192,2024-02-13
0.12,2024-02-05
0.155,2023-12-11
0.227,2023-12-08
0.203,2023-11-27
0.167,2023-11-27
0.125,2023-11-11
0.123,2023-10-11
0.18,2023-09-26
0.112,2023-09-14
0.128,2023-08-25
0.173,2023-08-23
0.129,2023-08-22
0.129,2023-08-15
0.099,2023-08-14
0.124,2023-08-11
0.116,2023-08-09
0.174,2023-08-06
0.185,2023-07-18
0.147,2023-07-17
0.091,2023-07-11
0.173,2023-07-10
0.188,2023-07-06
0.158,2023-06-23
0.092,2023-06-18
0.165,2023-06-01
0.111,2023-05-29
0.144,2023-05-18
0.129,2023-05-09
0.194,2023-05-06
0.194,2023-04-16
0.183,2023-03-16
0.158,2024-03-22
0.11,2024-03-15
0.129,2024-03-15
0.088,2024-02-28
0.153,2024-02-28
0.114,2024-02-27
0.192,2024-02-13
0.12,2024-02-05
0.155,2023-12-11
0.227,2023-12-08
0.203,2023-11-27
0.167,2023-11-27
0.125,2023-11-11
0.123,2023-10-11
0.18,2023-09-26
0.112,2023-09-14
0.128,2023-08-25
0.173,2023-08-23
0.129,2023-08-22
0.129,2023-08-15
0.099,2023-08-14
0.124,2023-08-11
0.116,2023-08-09
0.174,2023-08-06
0.185,2023-07-18
0.147,2023-07-17
0.091,2023-07-11
0.173,2023-07-10
0.188,2023-07-06
0.158,2023-06-23
0.092,2023-06-18
0.165,2023-06-01
0.111,2023-05-29
0.144,2023-05-18
0.129,2023-05-09
0.194,2023-05-06
0.194,2023-04-16
